Loading weights:   0%|          | 0/750 [00:00<?, ?it/s]Loading weights:   0%|          | 2/750 [00:00<00:38, 19.36it/s]Loading weights:   5%|▍         | 34/750 [00:00<00:03, 187.09it/s]Loading weights:   9%|▊         | 65/750 [00:00<00:02, 239.62it/s]Loading weights:  12%|█▏        | 93/750 [00:00<00:02, 254.59it/s]Loading weights:  17%|█▋        | 125/750 [00:00<00:02, 273.88it/s]Loading weights:  20%|██        | 153/750 [00:00<00:02, 271.96it/s]Loading weights:  24%|██▍       | 182/750 [00:00<00:02, 276.81it/s]Loading weights:  29%|██▊       | 215/750 [00:00<00:01, 284.60it/s]Loading weights:  33%|███▎      | 248/750 [00:00<00:01, 291.58it/s]Loading weights:  37%|███▋      | 280/750 [00:01<00:01, 298.26it/s]Loading weights:  41%|████▏     | 310/750 [00:01<00:01, 292.73it/s]Loading weights:  46%|████▌     | 345/750 [00:01<00:01, 301.62it/s]Loading weights:  50%|█████     | 376/750 [00:01<00:01, 301.80it/s]Loading weights:  62%|██████▏   | 463/750 [00:01<00:00, 465.17it/s]Loading weights:  86%|████████▋ | 647/750 [00:01<00:00, 867.78it/s]Loading weights: 100%|██████████| 750/750 [00:01<00:00, 452.99it/s]
loaded Qwen/Qwen3-VL-8B-Instruct on cuda:0
frame plan: 1076 distinct frames across 17 segments (vs decoding every frame of each segment, which held 8.2 GB)
  dv_coffee      [beverage] spans   0-  0 ->  1 captions  (input_tokens=2148, output_tokens=62, n_images=4)
  dv_coffee      [beverage] spans   1-  1 ->  1 captions  (input_tokens=2206, output_tokens=61, n_images=4)
  dv_coffee      [beverage] spans   2-  2 ->  1 captions  (input_tokens=2229, output_tokens=62, n_images=4)
  dv_coffee      [beverage] spans   3-  3 ->  1 captions  (input_tokens=2267, output_tokens=62, n_images=4)
  dv_coffee      [beverage] spans   4-  4 ->  1 captions  (input_tokens=2305, output_tokens=65, n_images=4)
  dv_toothbrush  [small_assembly] spans   0-  0 ->  1 captions  (input_tokens=2150, output_tokens=68, n_images=4)
  dv_toothbrush  [small_assembly] spans   1-  1 ->  1 captions  (input_tokens=2209, output_tokens=66, n_images=4)
  dv_toothbrush  [small_assembly] spans   2-  2 ->  1 captions  (input_tokens=2239, output_tokens=64, n_images=4)
  dv_plants      [plant_care] spans   0-  0 ->  1 captions  (input_tokens=2141, output_tokens=61, n_images=4)
  dv_plants      [plant_care] spans   1-  1 ->  1 captions  (input_tokens=2208, output_tokens=63, n_images=4)
  dv_plants      [plant_care] spans   2-  2 ->  1 captions  (input_tokens=2239, output_tokens=63, n_images=4)
  dv_plants      [plant_care] spans   3-  3 ->  1 captions  (input_tokens=2266, output_tokens=63, n_images=4)
  dv_plants      [plant_care] spans   4-  4 ->  1 captions  (input_tokens=2298, output_tokens=63, n_images=4)
  dv_plants      [plant_care] spans   5-  5 ->  1 captions  (input_tokens=2300, output_tokens=63, n_images=4)
  dv_plants      [plant_care] spans   6-  6 ->  1 captions  (input_tokens=2302, output_tokens=63, n_images=4)
  dv_plants      [plant_care] spans   7-  7 ->  1 captions  (input_tokens=2309, output_tokens=63, n_images=4)
  dv_plants      [plant_care] spans   8-  8 ->  1 captions  (input_tokens=2307, output_tokens=60, n_images=4)
  dv_contactlens [personal_care] spans   0-  0 ->  1 captions  (input_tokens=2142, output_tokens=61, n_images=4)
  dv_contactlens [personal_care] spans   1-  1 ->  1 captions  (input_tokens=2200, output_tokens=62, n_images=4)
  dv_contactlens [personal_care] spans   2-  2 ->  1 captions  (input_tokens=2232, output_tokens=63, n_images=4)
  dv_contactlens [personal_care] spans   3-  3 ->  1 captions  (input_tokens=2265, output_tokens=63, n_images=4)
  dv_contactlens [personal_care] spans   4-  4 ->  1 captions  (input_tokens=2296, output_tokens=57, n_images=4)
  dv_contactlens [personal_care] spans   5-  5 ->  1 captions  (input_tokens=2301, output_tokens=63, n_images=4)
  dv_contactlens [personal_care] spans   6-  6 ->  1 captions  (input_tokens=2301, output_tokens=63, n_images=4)
  dv_contactlens [personal_care] spans   7-  7 ->  1 captions  (input_tokens=2294, output_tokens=62, n_images=4)
  dv_contactlens [personal_care] spans   8-  8 ->  1 captions  (input_tokens=2292, output_tokens=64, n_images=4)
  dv_contactlens [personal_care] spans   9-  9 ->  1 captions  (input_tokens=2299, output_tokens=64, n_images=4)
  dv_contactlens [personal_care] spans  10- 10 ->  1 captions  (input_tokens=2302, output_tokens=64, n_images=4)
  dv_contactlens [personal_care] spans  11- 11 ->  1 captions  (input_tokens=2303, output_tokens=63, n_images=4)
  dv_contactlens [personal_care] spans  12- 12 ->  1 captions  (input_tokens=2302, output_tokens=62, n_images=4)
